Passcode$Name$Status$Attribute$type$link$link_arrows$rank$pendulum_scale$level$attack$defense$spell_attribute$summoning_condition$pendulum_condition$card_text$card_supports$card_anti_supports$card_actions$effect_types$
01861629$Decode Talker$Unlimited$DARK$[Cyberse/Link/Effect]$3$Bottom-Left/Top/Bottom-Right$$$$2300$- $$2+ Effect Monsters$$Gains 500 ATK for each monster it points to. When your opponent activates a card or effect that targets a card(s) you control (Quick Effect): You can Tribute 1 monster this card points to; negate the activation, and if you do, destroy that card.$Effect Monster$$Tributes for cost$Continuous/Quick$
07394770$Brilliant Fusion$Limited(OCG)$SPELL$$$$$$$$$Continuous$$$When this card is activated: Fusion Summon 1 "Gem-Knight" Fusion Monster from your Extra Deck, using monsters from your Deck as Fusion Material, but change its ATK/DEF to 0. If this card leaves the field, destroy that monster. Once per turn: You can discard 1 Spell; the monster Special Summoned by this card's effect gains ATK/DEF equal to its original ATK/DEF, until the end of your opponent's turn. You can only activate 1 "Brilliant Fusion" per turn.$Supports archetypes /Gem-Knight$$Sends from your Deck to your Graveyard/Uses cards in the player's Deck as Fusion Materials/Discards for cost$Effect/Lingering/Ignition-like/Condition$
74063034$Invocation$Unlimited$SPELL$$$$$$$$$$$$Fusion Summon 1 Fusion Monster from your Extra Deck, using monsters from your hand as Fusion Material. If Summoning an "Invoked" Fusion Monster this way, you can also banish monsters from your field and/or either player's GY as Fusion Material. If this card is in your GY: You can target 1 of your banished "Aleister the Invoker"; shuffle this card into the Deck, and if you do, add that monster to your hand. You can only use this effect of "Invocation" once per turn.$Supports archetypes /Invoked$$Sends from your hand to your Graveyard/Uses cards in the hand as Fusion Materials/Uses cards on the player's field as Fusion Materials/Uses cards in the player's Graveyard as Fusion Materials/Uses cards in the opponent's Graveyard as Fusion Materials/Activates from your Graveyard/Returns itself from Graveyard to Deck/Adds banished cards to the hand$Effect/Ignition-like/Condition$
04388680$Revendread Slayer$Unlimited$DARK$[Zombie/Ritual/Effect]$$$$$6$2400$0$$$$You can Ritual Summon this card with any "Vendread" Ritual Spell. Once per battle, if this card battles an opponent's monster, during damage calculation (Quick Effect): You can banish 1 Zombie monster from your GY; this card gains 300 ATK. If this Ritual Summoned card is sent to the GY: You can add 1 Ritual Spell from your Deck to your hand, and if you do, send 1 "Vendread" monster from your Deck to the GY. You can only use this effect of "Revendread Slayer" once per turn.$Supports archetypes /Vendread$$Activates from your Graveyard/Adds from Deck to hand/Sends from your Deck to your Graveyard$Summon/Quick/Trigger/Condition$
52022648$Fairy Tail - Rella$Unlimited$LIGHT$[Spellcaster/Effect]$$$$$4$1850$1000$$$$Neither player can target monsters on the field with Spell Cards or effects, except this one. Once per turn: You can discard 1 Spell; equip 1 Equip Spell from your hand, Deck, or GY to this card, but return that Equip Spell to the hand during the End Phase.$Equip Spell Card$$Discards for cost/Returns from your field to your hand$Continuous/Ignition$
98414735$Paleozoic Canadia$Unlimited$TRAP$$$$$$$$$$$$Target 1 face-up monster your opponent controls; change it to face-down Defense Position. Once per Chain, when a Trap Card is activated while this card is in your GY: You can Special Summon this card as a Normal Monster (Aqua/WATER/Level 2/ATK 1200/DEF 0). (This card is NOT treated as a Trap.) If Summoned this way, this card is unaffected by monster effects, also banish it when it leaves the field.$$$Flips monsters face-down/Changes battle positions/Activates from your Graveyard$Effect/Quick-like/Condition$
02376209$Paleozoic Eldonia$Unlimited$TRAP$$$$$$$$$$$$Target 1 face-up monster on the field; it gains 500 ATK/DEF until the end of this turn. Once per Chain, when a Trap Card is activated while this card is in your GY: You can Special Summon this card as a Normal Monster (Aqua/WATER/Level 2/ATK 1200/DEF 0). (This card is NOT treated as a Trap.) If Summoned this way, this card is unaffected by monster effects, also banish it when it leaves the field.$$$Activates from your Graveyard$Effect/Quick-like/Condition$
61420130$Paleozoic Hallucigenia$Unlimited$TRAP$$$$$$$$$$$$Target 1 face-up monster on the field; its ATK/DEF become half its current ATK/DEF until the end of this turn. Once per Chain, when a Trap Card is activated while this card is in your GY: You can Special Summon this card as a Normal Monster (Aqua/WATER/Level 2/ATK 1200/DEF 0). (This card is NOT treated as a Trap.) If Summoned this way, this card is unaffected by monster effects, also banish it when it leaves the field.$$$Activates from your Graveyard$Effect/Quick-like/Condition$
73468603$Set Rotation$Limited$SPELL$$$$$$$$$Quick-Play$$$Set 2 Field Spells with different names from your Deck on the field (1 on your field, and 1 on your opponent's field). While either of those cards remain Set on the field, neither player can activate or Set other Field Spells.$Field Spell Card$Field Spell Card$Sets from your Deck/Prevents your Sets/Prevents your opponent's Sets/Exchanges cards$Effect/Lingering$
93969023$Black Metal Dragon$Unlimited$DARK$[Dragon/Effect]$$$$$1$600$600$$$$You can target 1 "Red-Eyes" monster you control; equip this monster from your hand or field to that target. It gains 600 ATK. If this card is sent from the field to the GY: You can add 1 "Red-Eyes" card from your Deck to your hand.$Supports archetypes /Red-Eyes$$Activates from your hand/Equips self from hand/Equips self from field/Activates from your Graveyard/Adds from Deck to hand$Ignition/Continuous-like/Trigger$
